"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Barrio Espana","BES",-17.84269,-63.19345,"SCZ812"
"Barrio Fabril","BFR",-21.54052,-64.70604,"TRJ208"
"Barrio Fervo","FRV",-17.73282,-63.1758,"SCZ050"
"Barrio Gráfico","BGF",-16.4792,-68.11839,"LPZ112"
"Barrio Guadalupe","BGD",-17.72949,-63.12547,"SCZ513"
"Barrio Heroes del Chaco","BHC",-17.80204,-63.14262,"SCZ128"
"Barrio Japon","BJP",-19.05247,-65.23525,"SRE149"
"Barrio Kami","BAK",-17.36446,-66.24666,""
"Barrio La Morita","BLM",-17.82093,-63.17714,"SCZ168"
"Barrio Las Americas","BAM",-17.8644,-63.2023,"SCZ831"
"Barrio Las Barrancas","BBC",-21.5141,-64.73769,"TRJ24"
"Barrio Las Gramas","GRA",-17.7408,-63.09964,"SCZ422"
"Barrio Lindo","BLN",-17.79043,-63.15014,"SCZ085"
"Barrio Lindo SCZ","BL2",-17.79189,-63.15388,"SCZ085"
"Barrio Litoral","BLT",-17.95356,-67.10243,"ORU347"
"Barrio Los Ambaibos","BAB",-17.76425,-63.11622,"SCZ409"
"Barrio Los Angeles","LAL",-17.76895,-63.16129,"SCZ065"
"Barrio Los Choferes","BCH",-17.79301,-63.16911,"SCZ080"
"Barrio Luis Espinal","BLE",-21.52606,-64.7104,"TRJ032"
"Barrio Morcocal","BMC",-17.3843,-66.2191,"CBB563"
"Barrio Nueva Primavera","BNP",-17.74819,-63.10858,"SCZ416"
"Barrio Nuevo Oriente","BNO",-17.86146,-63.19266,"SCZ828"
"Barrio Obrero","BOBR",-19.03544,-65.25456,""
"Barrio Olender","OLD",-17.81037,-63.14993,"SCZ176"
"Barrio Pedro Diez","BPD",-17.85715,-63.18353,"SCZ908"
"Barrio Pedro Flores","PFL",-21.55753,-64.68186,"TRJ216"
"Barrio Perla del Acre","BPA",-11.04713,-68.79222,""
"Barrio Petrol Caja","BPC",-17.81506,-63.18958,"SCZ151"
"Barrio Petrolero","PET",-19.04414,-65.24402,"SRE002"
"Barrio Profesional","BPR",-17.36922,-66.19156,"CBB515"
"Barrio Progreso","BPG",-17.73178,-63.13591,"SCZ502"
